basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2019.01,12179,Jd33e,Fudano,Azumazeki,Kanagawa,1991-08-24,179,143,Jd13e,3,4
2019.01,12498,Jd33w,Kamada,Yamahibiki,Okayama,2002-06-21,186,169,Jd60e,4,3
2019.01,504,Jd34e,Kainowaka,Tomozuna,Fukuoka,1979-04-20,178,173.5,Jd77e,5,2
2019.01,12461,Jd34w,Kamitani,Michinoku,Miyazaki,2002-06-18,183,121,Jd77w,5,2
2019.01,12391,Jd35e,Tainaka,Futagoyama,Kanagawa,1998-08-10,175,117,Jd4e,2,5
2019.01,12426,Jd35w,Miyakogawa,Isenoumi,Kyoto,1998-11-22,175,101,Jd4w,2,5
2019.01,12359,Jd36e,Wakaichiro,Musashigawa,Nagasaki,1998-07-07,178,115,Jd5e,2,5
2019.01,6598,Jd36w,Tochinoshima,Kasugano,Wakayama,1987-05-03,173,141.8,Sd96e,1,6
2019.01,12466,Jd37e,Daiyusho,Oitekaze,Ehime,2002-04-06,173,111,Jd14w,3,4
2019.01,6537,Jd37w,Asanoshima,Takasago,Kagoshima,1989-10-09,168,130,Jd64e,4,3
2019.01,12176,Jd38e,Ryubu,Musashigawa,Gifu,1998-07-11,181,135,Jd79e,5,2
2019.01,2859,Jd38w,Ota,Yamahibiki,Tokushima,1987-08-08,168,135,Jd66e,4,3
2019.01,12214,Jd39e,Fukamachi,Minezaki,Fukuoka,1999-06-22,172,79,Jd79w,5,2
2019.01,12328,Jd39w,Ayaminato,Minato,Saitama,2000-04-12,168,91,Jd66w,4,3
2019.01,12091,Jd40e,Kurokage,Miyagino,Hokkaido,1997-12-23,181,135.6,Jd17e,3,4
2019.01,2869,Jd40w,Hamamiryu,Kise,Hyogo,1987-05-10,171.5,108,Jd80e,5,2
2019.01,12173,Jd41e,Nakaishi,Nishonoseki,Aichi,1998-07-24,180,125,Jd68e,4,3
2019.01,11878,Jd41w,Imafuku,Nishonoseki,Kyoto,1990-10-23,175,111.5,Jd19w,3,4
2019.01,12102,Jd42e,Ryuki,Michinoku,Kagoshima,1997-08-15,177,67,Jd69w,4,3
2019.01,12253,Jd42w,Chiyonosora,Kokonoe,Tokyo,2000-03-17,171,100,Jd9w,2,5
2019.01,916,Jd43e,Tochikasuga,Kasugano,Aichi,1983-10-01,177,132.3,Jd10w,2,5
